"Symbol","Security","Added","Removed"
"SPGI","S&P Global",1957-03-04,NA
"CRM","Salesforce",2008-09-15,NA
"SBAC","SBA Communications",2017-09-01,NA
"SLB","Schlumberger",1957-03-04,NA
"STX","Seagate Technology",2012-07-02,NA
"SRE","Sempra Energy",2017-03-17,NA
"NOW","ServiceNow",2019-11-21,NA
"SHW","Sherwin-Williams",1964-06-30,NA
"SPG","Simon Property Group",2002-06-26,NA
"SWKS","Skyworks Solutions",2015-03-12,NA
"SJM","J.M. Smucker Company (The)",2008-11-06,NA
"SNA","Snap-on",1982-09-30,NA
"SO","Southern Company",1957-03-04,NA
"LUV","Southwest Airlines",1994-07-01,NA
"SWK","Stanley Black & Decker",1982-09-30,NA
"SBUX","Starbucks",2000-06-07,NA
"STT","State Street Corporation",2003-03-14,NA
"STLD","Steel Dynamics",2022-12-22,NA
"STE","Steris",2019-12-23,NA
"SYK","Stryker Corporation",2000-12-12,NA
"SYF","Synchrony Financial",2015-11-18,NA
"SNPS","Synopsys",2017-03-16,NA
"SYY","Sysco",1986-12-31,NA
"TMUS","T-Mobile US",2019-07-15,NA
"TROW","T. Rowe Price",2019-07-29,NA
"TTWO","Take-Two Interactive",2018-03-19,NA
"TPR","Tapestry, Inc.",2004-09-01,NA
"TRGP","Targa Resources",2022-10-12,NA
"TGT","Target Corporation",1976-12-31,NA
"TEL","TE Connectivity",2011-10-17,NA
"TDY","Teledyne Technologies",2020-06-22,NA
"TFX","Teleflex",2019-01-18,NA
"TER","Teradyne",2020-09-21,NA
"TSLA","Tesla, Inc.",2020-12-21,NA
"TXN","Texas Instruments",2001-03-12,NA
"TXT","Textron",1978-12-31,NA
"TMO","Thermo Fisher Scientific",2004-08-03,NA
"TJX","TJX Companies",1985-09-30,NA
"TSCO","Tractor Supply",2014-01-24,NA
"TT","Trane Technologies",2010-11-17,NA
"TDG","TransDigm Group",2016-06-03,NA
"TRV","Travelers Companies (The)",2002-08-21,NA
"TRMB","Trimble Inc.",2021-01-21,NA
"TFC","Truist",1997-12-04,NA
"TYL","Tyler Technologies",2020-06-22,NA
"TSN","Tyson Foods",2005-08-10,NA
"USB","U.S. Bank",1999-11-01,NA
"UBER","Uber",2023-12-18,NA
"UDR","UDR, Inc.",2016-03-07,NA
"ULTA","Ulta Beauty",2016-04-18,NA
"UNP","Union Pacific Corporation",1957-03-04,NA
"UAL","United Airlines Holdings",2015-09-03,NA
"UPS","United Parcel Service",2002-07-22,NA
"URI","United Rentals",2014-09-20,NA
"UNH","UnitedHealth Group",1994-07-01,NA
"UHS","Universal Health Services",2014-09-20,NA
"VLO","Valero Energy",2002-12-20,NA
"VTR","Ventas",2009-03-04,NA
"VLTO","Veralto",2023-10-02,NA
"VRSN","Verisign",2006-02-01,NA
"VRSK","Verisk",2015-10-08,NA
"VZ","Verizon",1983-11-30,NA
"VRTX","Vertex Pharmaceuticals",2013-09-23,NA
"VFC","VF Corporation",1979-06-30,NA
"VTRS","Viatris",2004-04-23,NA
"VICI","Vici Properties",2022-06-08,NA
"V","Visa Inc.",2009-12-21,NA
"VMC","Vulcan Materials Company",1999-06-30,NA
"WRB","Berkley",2019-12-05,NA
"WAB","Wabtec",2019-02-27,NA
"WBA","Walgreens Boots Alliance",1979-12-31,NA
"WMT","Walmart",1982-08-31,NA
"DIS","Walt Disney",1976-06-30,NA
"WBD","Warner Bros. Discovery",2022-04-11,NA
"WM","Waste Management",1998-08-31,NA
"WAT","Waters Corporation",2002-01-02,NA
"WEC","WEC Energy Group",2008-10-31,NA
"WFC","Wells Fargo",1976-06-30,NA
"WELL","Welltower",2009-01-30,NA
"WST","West Pharmaceutical Services",2020-05-22,NA
"WDC","Western Digital",2009-07-01,NA
"WRK","WestRock",1957-03-04,NA
"WY","Weyerhaeuser",1979-10-01,NA
"WHR","Whirlpool Corporation",1958-03-31,NA
"WMB","Williams Companies",1975-03-31,NA
"WTW","Willis Towers Watson",2016-01-05,NA
"GWW","W. W. Grainger",1981-06-30,NA
"WYNN","Wynn Resorts",2008-11-14,NA
"XEL","Xcel Energy",1957-03-04,NA
"XYL","Xylem Inc.",2011-11-01,NA
"YUM","Yum! Brands",1997-10-06,NA
"ZBRA","Zebra Technologies",2019-12-23,NA
"ZBH","Zimmer Biomet",2001-08-07,NA
"ZION","Zions Bancorporation",2001-06-22,NA
"ZTS","Zoetis",2013-06-21,NA
